"Año";"Mes";"PEQ";"PEQ_IT"
2019;7;3495,32;176,37
2019;8;3521,15;152,38
2019;9;3490,84;167,57
2019;10;3361,69;187,23
2019;11;3357,34;185,90
2019;12;3388,82;181,57
2020;1;3359,74;194,68
2020;2;3374,95;208,56
2020;3;3453,13;403,46
2020;4;3695,30;428,67
2020;5;3732,76;291,57
2020;6;3705,98;243,73
2020;7;3726,99;219,14
2020;8;3760,35;222,34
2020;9;3764,05;253,96
2020;10;3819,94;304,46
2020;11;4018,72;314,88
2020;12;4076,79;304,29
2021;1;4032,78;316,55
2021;2;4056,37;267,84
2021;3;4055,41;247,28
2021;4;4046,96;237,96
2021;5;4039,85;219,74
2021;6;4026,23;223,56
2021;7;4108,70;232,72
2021;8;4213,26;191,37
2021;9;4151,04;168,46
2021;10;4097,64;163,67
2021;11;4090,90;185,15
2021;12;4131,11;247,44
2022;1;4117,18;268,80
2022;2;4143,23;135,12
2022;3;4042,85;41,13
2022;4;3925,06;36,63
2022;5;3904,22;35,63
2022;6;3904,22;35,63
2022;7;3810,93;29,96
2022;8;3800,26;29,96
2022;9;3800,26;29,96
2022;10;3800,26;29,96
2022;11;3800,26;29,96
2022;12;3800,26;29,37
